SYS_LOC_CODE,SAMPLE_DATE,SAMPLE_TYPE_CODE,STREAM_CODE,ANALYTIC_METHOD,FRACTION,REPORT_RESULT_VALUE,DETECT_FLAG,CHEMICAL_NAME,METHOD_DETECTION_LIMIT,REPORTING_DETECTION_LIMIT,RESULT_NUMERIC,RESULT_UNIT,DETECTION_LIMIT_UNIT,LOC_COUNTY_CODE,SAMPLE_METHOD,LOC_MAJOR_BASIN,LOC_DESC,VALUE_TYPE,LONGITUDE,LATITUDE,date,year,month,month_name,WID,HUC 8
S007-548,41512,Sample,04010101-518,300,Dissolved,2.4,Y,Sulfate,NA,1.5,2.4,mg/L,mg/L,Cook,G,4010101,"CROSS R E OF T-127 (AT SNOWMOBILE BRG), 10.4 MI SSE OF SCHROEDER, MN",Actual,-90.90199,47.547018,41512,2013,8,August,04010101-518,04010101
S007-548,41528,Sample,04010101-518,300,Dissolved,3,Y,Sulfate,NA,1.5,3,mg/L,mg/L,Cook,G,4010101,"CROSS R E OF T-127 (AT SNOWMOBILE BRG), 10.4 MI SSE OF SCHROEDER, MN",Actual,-90.90199,47.547018,41528,2013,9,September,04010101-518,04010101
S007-548,41542,Sample,04010101-518,300,Dissolved,2.7,Y,Sulfate,NA,1.5,2.7,mg/L,mg/L,Cook,G,4010101,"CROSS R E OF T-127 (AT SNOWMOBILE BRG), 10.4 MI SSE OF SCHROEDER, MN",Actual,-90.90199,47.547018,41542,2013,9,September,04010101-518,04010101
S007-548,41830,Sample,04010101-518,300,Dissolved,1.9,Y,Sulfate,NA,1.5,1.9,mg/L,mg/L,Cook,G,4010101,"CROSS R E OF T-127 (AT SNOWMOBILE BRG), 10.4 MI SSE OF SCHROEDER, MN",Actual,-90.90199,47.547018,41830,2014,7,July,04010101-518,04010101
S000-865,41408,Sample,04010101-532,D516,Total,3,N,Sulfate,0.177,3,NA,mg/L,mg/L,Cook,G,4010101,"KIMBALL CK AT US-61, 7.5 MI NE OF GRAND MARAIS, MN",Actual,-90.182306,47.784861,41408,2013,5,May,04010101-532,04010101
S000-865,41422,Sample,04010101-532,D516,Total,3,N,Sulfate,0.177,3,NA,mg/L,mg/L,Cook,G,4010101,"KIMBALL CK AT US-61, 7.5 MI NE OF GRAND MARAIS, MN",Actual,-90.182306,47.784861,41422,2013,5,May,04010101-532,04010101
S000-865,41429,Sample,04010101-532,D516,Total,3,N,Sulfate,0.177,3,NA,mg/L,mg/L,Cook,G,4010101,"KIMBALL CK AT US-61, 7.5 MI NE OF GRAND MARAIS, MN",Actual,-90.182306,47.784861,41429,2013,6,June,04010101-532,04010101
S000-865,41450,Sample,04010101-532,D516,Total,3,N,Sulfate,0.177,3,NA,mg/L,mg/L,Cook,G,4010101,"KIMBALL CK AT US-61, 7.5 MI NE OF GRAND MARAIS, MN",Actual,-90.182306,47.784861,41450,2013,6,June,04010101-532,04010101
S000-865,41457,Sample,04010101-532,D516,Total,3,N,Sulfate,0.177,3,NA,mg/L,mg/L,Cook,G,4010101,"KIMBALL CK AT US-61, 7.5 MI NE OF GRAND MARAIS, MN",Actual,-90.182306,47.784861,41457,2013,7,July,04010101-532,04010101
S000-865,41485,Sample,04010101-532,D516,Total,3,N,Sulfate,0.177,3,NA,mg/L,mg/L,Cook,G,4010101,"KIMBALL CK AT US-61, 7.5 MI NE OF GRAND MARAIS, MN",Actual,-90.182306,47.784861,41485,2013,7,July,04010101-532,04010101
S000-865,41492,Sample,04010101-532,D516,Total,3,N,Sulfate,0.177,3,NA,mg/L,mg/L,Cook,G,4010101,"KIMBALL CK AT US-61, 7.5 MI NE OF GRAND MARAIS, MN",Actual,-90.182306,47.784861,41492,2013,8,August,04010101-532,04010101
S000-865,41513,Sample,04010101-532,D516,Total,3,N,Sulfate,0.177,3,NA,mg/L,mg/L,Cook,G,4010101,"KIMBALL CK AT US-61, 7.5 MI NE OF GRAND MARAIS, MN",Actual,-90.182306,47.784861,41513,2013,8,August,04010101-532,04010101
S000-865,41520,Sample,04010101-532,D516,Total,3,N,Sulfate,0.177,3,NA,mg/L,mg/L,Cook,G,4010101,"KIMBALL CK AT US-61, 7.5 MI NE OF GRAND MARAIS, MN",Actual,-90.182306,47.784861,41520,2013,9,September,04010101-532,04010101
S000-865,41541,Sample,04010101-532,D516,Total,3,N,Sulfate,0.177,3,NA,mg/L,mg/L,Cook,G,4010101,"KIMBALL CK AT US-61, 7.5 MI NE OF GRAND MARAIS, MN",Actual,-90.182306,47.784861,41541,2013,9,September,04010101-532,04010101
S007-783,41410,Sample,04010101-534,D516,Total,3,N,Sulfate,0.177,3,NA,mg/L,mg/L,Lake,G,4010101,"MANITOU R AT SNOWMOBILE BRG DWNSTR OF CSAH-7, 9.9 MI SE OF CRYSTAL BAY, MN",Actual,-91.113355,47.503471,41410,2013,5,May,04010101-534,04010101
S007-783,41425,Sample,04010101-534,D516,Total,3,N,Sulfate,0.177,3,NA,mg/L,mg/L,Lake,G,4010101,"MANITOU R AT SNOWMOBILE BRG DWNSTR OF CSAH-7, 9.9 MI SE OF CRYSTAL BAY, MN",Actual,-91.113355,47.503471,41425,2013,5,May,04010101-534,04010101
S007-783,41437,Sample,04010101-534,D516,Total,3,N,Sulfate,0.177,3,NA,mg/L,mg/L,Lake,G,4010101,"MANITOU R AT SNOWMOBILE BRG DWNSTR OF CSAH-7, 9.9 MI SE OF CRYSTAL BAY, MN",Actual,-91.113355,47.503471,41437,2013,6,June,04010101-534,04010101
S007-783,41451,Sample,04010101-534,D516,Total,3,N,Sulfate,0.177,3,NA,mg/L,mg/L,Lake,G,4010101,"MANITOU R AT SNOWMOBILE BRG DWNSTR OF CSAH-7, 9.9 MI SE OF CRYSTAL BAY, MN",Actual,-91.113355,47.503471,41451,2013,6,June,04010101-534,04010101
S007-783,41457,Sample,04010101-534,D516,Total,3,N,Sulfate,0.177,3,NA,mg/L,mg/L,Lake,G,4010101,"MANITOU R AT SNOWMOBILE BRG DWNSTR OF CSAH-7, 9.9 MI SE OF CRYSTAL BAY, MN",Actual,-91.113355,47.503471,41457,2013,7,July,04010101-534,04010101
S007-783,41486,Sample,04010101-534,D516,Total,3,N,Sulfate,0.177,3,NA,mg/L,mg/L,Lake,G,4010101,"MANITOU R AT SNOWMOBILE BRG DWNSTR OF CSAH-7, 9.9 MI SE OF CRYSTAL BAY, MN",Actual,-91.113355,47.503471,41486,2013,7,July,04010101-534,04010101
S007-783,41493,Sample,04010101-534,D516,Total,3,N,Sulfate,0.177,3,NA,mg/L,mg/L,Lake,G,4010101,"MANITOU R AT SNOWMOBILE BRG DWNSTR OF CSAH-7, 9.9 MI SE OF CRYSTAL BAY, MN",Actual,-91.113355,47.503471,41493,2013,8,August,04010101-534,04010101
S007-783,41512,Sample,04010101-534,D516,Total,3,N,Sulfate,0.177,3,NA,mg/L,mg/L,Lake,G,4010101,"MANITOU R AT SNOWMOBILE BRG DWNSTR OF CSAH-7, 9.9 MI SE OF CRYSTAL BAY, MN",Actual,-91.113355,47.503471,41512,2013,8,August,04010101-534,04010101
S007-783,41535,Sample,04010101-534,D516,Total,3,N,Sulfate,0.177,3,NA,mg/L,mg/L,Lake,G,4010101,"MANITOU R AT SNOWMOBILE BRG DWNSTR OF CSAH-7, 9.9 MI SE OF CRYSTAL BAY, MN",Actual,-91.113355,47.503471,41535,2013,9,September,04010101-534,04010101
S007-783,41547,Sample,04010101-534,D516,Total,3,N,Sulfate,0.177,3,NA,mg/L,mg/L,Lake,G,4010101,"MANITOU R AT SNOWMOBILE BRG DWNSTR OF CSAH-7, 9.9 MI SE OF CRYSTAL BAY, MN",Actual,-91.113355,47.503471,41547,2013,9,September,04010101-534,04010101
S007-415,41408,Sample,04010101-535,D516,Total,3,N,Sulfate,0.177,3,NA,mg/L,mg/L,Cook,G,4010101,"ONION R JUST W OF FOREST RTE 336 AND S OF S006-282, 8.4 MI SE OF TOFTE, MN",Actual,-90.776651,47.615772,41408,2013,5,May,04010101-535,04010101
S007-415,41424,Sample,04010101-535,D516,Total,3,N,Sulfate,0.177,3,NA,mg/L,mg/L,Cook,G,4010101,"ONION R JUST W OF FOREST RTE 336 AND S OF S006-282, 8.4 MI SE OF TOFTE, MN",Actual,-90.776651,47.615772,41424,2013,5,May,04010101-535,04010101
S007-415,41428,Sample,04010101-535,D516,Total,3,N,Sulfate,0.177,3,NA,mg/L,mg/L,Cook,G,4010101,"ONION R JUST W OF FOREST RTE 336 AND S OF S006-282, 8.4 MI SE OF TOFTE, MN",Actual,-90.776651,47.615772,41428,2013,6,June,04010101-535,04010101
S007-415,41449,Sample,04010101-535,D516,Total,3,N,Sulfate,0.177,3,NA,mg/L,mg/L,Cook,G,4010101,"ONION R JUST W OF FOREST RTE 336 AND S OF S006-282, 8.4 MI SE OF TOFTE, MN",Actual,-90.776651,47.615772,41449,2013,6,June,04010101-535,04010101
S007-415,41456,Sample,04010101-535,D516,Total,3,N,Sulfate,0.177,3,NA,mg/L,mg/L,Cook,G,4010101,"ONION R JUST W OF FOREST RTE 336 AND S OF S006-282, 8.4 MI SE OF TOFTE, MN",Actual,-90.776651,47.615772,41456,2013,7,July,04010101-535,04010101
S007-415,41470,Sample,04010101-535,D516,Total,3,N,Sulfate,0.177,3,NA,mg/L,mg/L,Cook,G,4010101,"ONION R JUST W OF FOREST RTE 336 AND S OF S006-282, 8.4 MI SE OF TOFTE, MN",Actual,-90.776651,47.615772,41470,2013,7,July,04010101-535,04010101
S007-415,41484,Sample,04010101-535,D516,Total,3,N,Sulfate,0.177,3,NA,mg/L,mg/L,Cook,G,4010101,"ONION R JUST W OF FOREST RTE 336 AND S OF S006-282, 8.4 MI SE OF TOFTE, MN",Actual,-90.776651,47.615772,41484,2013,7,July,04010101-535,04010101
S007-415,41491,Sample,04010101-535,D516,Total,3,N,Sulfate,0.177,3,NA,mg/L,mg/L,Cook,G,4010101,"ONION R JUST W OF FOREST RTE 336 AND S OF S006-282, 8.4 MI SE OF TOFTE, MN",Actual,-90.776651,47.615772,41491,2013,8,August,04010101-535,04010101
S007-415,41512,Sample,04010101-535,D516,Total,3,N,Sulfate,0.177,3,NA,mg/L,mg/L,Cook,G,4010101,"ONION R JUST W OF FOREST RTE 336 AND S OF S006-282, 8.4 MI SE OF TOFTE, MN",Actual,-90.776651,47.615772,41512,2013,8,August,04010101-535,04010101
S007-415,41520,Sample,04010101-535,D516,Total,3,N,Sulfate,0.177,3,NA,mg/L,mg/L,Cook,G,4010101,"ONION R JUST W OF FOREST RTE 336 AND S OF S006-282, 8.4 MI SE OF TOFTE, MN",Actual,-90.776651,47.615772,41520,2013,9,September,04010101-535,04010101
S007-415,41540,Sample,04010101-535,D516,Total,3,N,Sulfate,0.177,3,NA,mg/L,mg/L,Cook,G,4010101,"ONION R JUST W OF FOREST RTE 336 AND S OF S006-282, 8.4 MI SE OF TOFTE, MN",Actual,-90.776651,47.615772,41540,2013,9,September,04010101-535,04010101
S004-954,41411,Sample,04010101-576,D516,Total,3,N,Sulfate,0.177,3,NA,mg/L,mg/L,Lake,G,4010101,"CARIBOU R AT US-61, 10 MI N OF ILLGEN CITY",Actual,-91.03071,47.46407,41411,2013,5,May,04010101-576,04010101
S004-954,41425,Sample,04010101-576,D516,Total,3,N,Sulfate,0.177,3,NA,mg/L,mg/L,Lake,G,4010101,"CARIBOU R AT US-61, 10 MI N OF ILLGEN CITY",Actual,-91.03071,47.46407,41425,2013,5,May,04010101-576,04010101
S004-954,41437,Sample,04010101-576,D516,Total,3,N,Sulfate,0.177,3,NA,mg/L,mg/L,Lake,G,4010101,"CARIBOU R AT US-61, 10 MI N OF ILLGEN CITY",Actual,-91.03071,47.46407,41437,2013,6,June,04010101-576,04010101
S004-954,41451,Sample,04010101-576,D516,Total,3,N,Sulfate,0.177,3,NA,mg/L,mg/L,Lake,G,4010101,"CARIBOU R AT US-61, 10 MI N OF ILLGEN CITY",Actual,-91.03071,47.46407,41451,2013,6,June,04010101-576,04010101
S004-954,41457,Sample,04010101-576,D516,Total,3,N,Sulfate,0.177,3,NA,mg/L,mg/L,Lake,G,4010101,"CARIBOU R AT US-61, 10 MI N OF ILLGEN CITY",Actual,-91.03071,47.46407,41457,2013,7,July,04010101-576,04010101
S004-954,41486,Sample,04010101-576,D516,Total,3,N,Sulfate,0.177,3,NA,mg/L,mg/L,Lake,G,4010101,"CARIBOU R AT US-61, 10 MI N OF ILLGEN CITY",Actual,-91.03071,47.46407,41486,2013,7,July,04010101-576,04010101
S004-954,41493,Sample,04010101-576,D516,Total,3,N,Sulfate,0.177,3,NA,mg/L,mg/L,Lake,G,4010101,"CARIBOU R AT US-61, 10 MI N OF ILLGEN CITY",Actual,-91.03071,47.46407,41493,2013,8,August,04010101-576,04010101
S004-954,41512,Sample,04010101-576,D516,Total,3,N,Sulfate,0.177,3,NA,mg/L,mg/L,Lake,G,4010101,"CARIBOU R AT US-61, 10 MI N OF ILLGEN CITY",Actual,-91.03071,47.46407,41512,2013,8,August,04010101-576,04010101
S004-954,41535,Sample,04010101-576,D516,Total,3,N,Sulfate,0.177,3,NA,mg/L,mg/L,Lake,G,4010101,"CARIBOU R AT US-61, 10 MI N OF ILLGEN CITY",Actual,-91.03071,47.46407,41535,2013,9,September,04010101-576,04010101
S004-954,41547,Sample,04010101-576,D516,Total,3,N,Sulfate,0.177,3,NA,mg/L,mg/L,Lake,G,4010101,"CARIBOU R AT US-61, 10 MI N OF ILLGEN CITY",Actual,-91.03071,47.46407,41547,2013,9,September,04010101-576,04010101
S000-253,41408,Sample,04010101-590,D516,Total,3,N,Sulfate,0.177,3,NA,mg/L,mg/L,Cook,G,4010101,CASCADE RIVER AT US-61 BRIDGE SW OF GRAND MARAIS,Actual,-90.5225,47.707222,41408,2013,5,May,04010101-590,04010101
S000-253,41423,Sample,04010101-590,D516,Total,3,N,Sulfate,0.177,3,NA,mg/L,mg/L,Cook,G,4010101,CASCADE RIVER AT US-61 BRIDGE SW OF GRAND MARAIS,Actual,-90.5225,47.707222,41423,2013,5,May,04010101-590,04010101
