Facility,SOURCEID,AIID,LATITUDE,LONGITUDE,PERMITTYPE,NAICS_CODE,INVENTORY,EMISSIONUN,CO,NOX,SO2,VOC,LEAD,PM10,PM25,NH3
3M - Cottage Grove - Tape Manufacturing,2716300080,145426,44.79045983,-92.91404737,R,322220,2019,TON,1.19238,1.547,0.019523,110.8733551,,0.0195029,0.018265,0.0448396
3M - Cottage Grove - Tape Manufacturing,2716300080,145426,44.79045983,-92.91404737,R,322220,2018,TON,1.93522,2.5621,0.036137,124.9200634,0,0.0365435,0.0345505,0.072533
3M - Cottage Grove - Tape Manufacturing,2716300080,145426,44.79045983,-92.91404737,R,322220,2017,TON,1.71351,2.06997,0.014837,73.832236,,0.01346755,0.01164155,0.0651383
3M - Cottage Grove - Utilities/Support Svcs,2716300015,145432,44.79045983,-92.91404737,R,325199,2019,TON,0.070818,19.16696,0.020649839,0.0330165,,0.587916871,0.366915903,0.0016532
3M - Cottage Grove - Utilities/Support Svcs,2716300015,145432,44.79045983,-92.91404737,R,325199,2018,TON,0.0793,0.3684,0.02422,0.036511,0,0.02653221,0.02653221,0.001769
3M - Cottage Grove - Utilities/Support Svcs,2716300015,145432,44.79045983,-92.91404737,R,325199,2017,TON,0.06825,0.31714,0.020841,0.03228,,0.022833371,0.022833371,0.0015225
3M - Hutchinson Tape Manufacturing Plant,2708500049,4053,44.8816,-94.3619,R,322220,2018,TON,30.1228,75.95,0.21516,611.6046929,0.00011136,1.103938,0.9301152,1.48635
3M - Hutchinson Tape Manufacturing Plant,2708500049,4053,44.8816,-94.3619,R,322220,2017,TON,29.08,72.105,0.20772,661.9439348,0.00010412,1.585668,1.4060311,1.84522
3M - Maplewood,2712300694,47995,44.95030212,-93.00487518,R,322220,2017,TON,42.9624,113.251583,1.439976368,4.80939581,0.000348637,0.529806507,0.463567812,2.24633333
3M - R & D Facility - Maplewood Bldg 201,2712300015,145433,44.9515,-93.0033,R,322220,2019,TON,1.08121,5.3394,3.966114,36.86605,,4.226666,1.66165065,0.03261
3M - R & D Facility - Maplewood Bldg 201,2712300015,145433,44.9515,-93.0033,R,322220,2018,TON,1.06345,5.0875,3.957925,57.38431,0,4.370067,1.7409161,0.0316
3M - R & D Facility - Maplewood Bldg 201,2712300015,145433,44.9516,-93.0032,R,322220,2017,TON,0.5128,0.8296,0.003663,38.57828,,4.254832,1.8984047,0.01954
3M - Woodbury - Bldg 518,2716300099,347,44.92208405,-92.96537684,D,54171,2019,TON,0.2153,0.2563,0.001538,0.65409,0.000001281,0.002333,0.0018241,0.0082
3M - Woodbury - Bldg 518,2716300099,347,44.92208405,-92.96537684,D,54171,2018,TON,0.185,0.2203,0.001322,0.45211,0.000001101,0.0131453,0.0096121,0.007048
3M - Woodbury - Bldg 518,2716300099,347,44.92208405,-92.96537684,D,54171,2017,TON,0.1676,0.1996,0.001197,1.86398,9.978E-07,0.020338,0.0147931,0.006386
3M Company Building 75,2712300411,1936,44.9385,-93.0915,D,325412,2019,TON,0.559,0.6655,0.003993,3.6986,0.000003328,0.003461,0.0028621,0.0213
3M Company Building 75,2712300411,1936,44.9385,-93.0915,D,325412,2018,TON,0.2583,0.3075,0.001845,3.87791,0.000001537,0.0015987,0.001322,0.009838
3M Company Building 75,2712300411,1936,44.9385,-93.0915,D,325412,2017,TON,0.278,0.331,0.001986,4.07921,0.000001655,0.001721,0.0014231,0.01059
3M Cuno Generation Facility,2703700362,130011,44.80640805,-93.13914042,C,221112,2019,TON,0.24198,1.1243,0.0739,0.09177,,0.08108,0.0810736,0.005398
3M Cuno Generation Facility,2703700362,130011,44.80640805,-93.13914042,C,221112,2018,TON,0.10121,0.4702,0.030904,0.03838,0,0.0339053,0.0339053,0.0022574
3M Cuno Generation Facility,2703700362,130011,44.80640805,-93.13914042,C,221112,2017,TON,0.13527,0.6285,0.04131,0.0513,,0.04532,0.0453276,0.0030178
3M Hutchinson,2708500049,4053,44.8816,-94.3619,R,322220,2019,TON,30.6022,78.321,0.218616,466.9301991,0.00011633,1.133846,0.9562353,1.99867
3M Mendota Heights - Bldg 60,2703700340,84514,44.8665,-93.1484,D,54171,2019,TON,0.915366,1.680073,0.0664197,0.072479,0.00000408,0.0198696,0.01853778,0.031811
3M Mendota Heights - Bldg 60,2703700340,84514,44.8665,-93.1484,D,54171,2018,TON,0.839,1.4674,0.053478,0.0606,0.000003915,0.016343,0.0151683,0.029591
3M Mendota Heights - Bldg 60,2703700340,84514,44.8665,-93.1484,D,54171,2017,TON,0.9487,1.8059,0.075318,0.0703,0.00000409,0.021964,0.0205468,0.032721
3M New Ulm,2701500039,894,44.32965088,-94.47488403,D,335931,2019,TON,0.9895012,1.1738241,0.007082071,7.960756269,6.838E-08,0.088571121,0.072408807,0.000438223
3M New Ulm,2701500039,894,44.32965088,-94.47488403,D,335931,2018,TON,1.31214182,1.5645922,0.009386662,9.270798602,7.22E-08,0.120075101,0.098162097,0.000462758
3M New Ulm,2701500039,894,44.32965088,-94.47488403,D,335931,2017,TON,1.13173143,1.3441071,0.008083751,10.78077175,6.978E-08,0.100072581,0.081810017,0.000447236
400/500 Stinson Blvd,2705301114,64069,44.99335516,-93.22710384,C,541519,2019,TON,0.5804,0.9305,0.024811,0.05975,0.000003043,0.026384,0.0258386,0.0045278
400/500 Stinson Blvd,2705301114,64069,44.99335516,-93.22710384,C,541519,2018,TON,1.0011,2.9905,0.162315,0.22879,0.000002863,0.177279,0.1767638,0.014411
400/500 Stinson Blvd,2705301114,64069,44.99335516,-93.22710384,C,541519,2017,TON,1.0663,3.2955,0.182429,0.25363,0.000002858,0.199352,0.1988537,0.015876
4Front Technology and Office Campus,2716300108,3168,44.99909718,-92.95165855,D,442110,2019,TON,2.16197,2.63227,0.0204845,0.3968738,1.27593E-05,0.0189421,0.016644215,0.082103
6000 Nathan Lane (MN) LLC,2705301267,217594,45.0622,-93.4064,C,221122,2019,TON,,,,,,0,0,
6000 Nathan Lane (MN) LLC,2705301267,217594,45.0622,-93.4064,C,221122,2018,TON,0,0,0,0,0,,,0
8100 Building,2705300936,543,44.85714147,-93.22329739,C,334511,2019,TON,1.11434,1.36202,0.01104,0.076189,0.00000657,0.010296,0.00911286,0.0066696
8100 Building,2705300936,543,44.85714147,-93.22329739,C,334511,2018,TON,1.13425,1.4065,0.012946,0.079343,0.000006653,0.0123639,0.0111669,0.0068815
8100 Building,2705300936,543,44.85714147,-93.22329739,C,334511,2017,TON,1.0579,2.1065,0.080675,0.14619,0.000004838,0.087171,0.08631,0.01021
A B Mauri Food Inc,2708500019,664,44.8929,-94.3646,D,311999,2018,TON,3.362,11.21,0.02402,0.2201,0.00002001,13.270815,7.564213,0.1281
AaCron Inc,2705300200,1247,45.00886249,-93.4588468,D,332813,2019,TON,2.0162,3.843,0.02304,0.17857,0.0000096,0.249784,0.239216,0.06144
AaCron Inc,2705300200,1247,45.00886249,-93.4588468,D,332813,2018,TON,2.063,4.033,0.0216,0.1863,0.000009663,0.280049,0.26831,0.06184
AaCron Inc,2705300200,1247,45.00886249,-93.4588468,D,332813,2017,TON,1.903,3.623,0.02088,0.16972,0.000009065,0.239428,0.229286,0.05802
AAR - Aircraft Services Duluth,2713700195,3821,46.84774017,-92.18761444,D,336413,2019,TON,0.06356,0.2953,0.019413,0.1341,,0.193299,0.0212954,0.0014178
AAR - Aircraft Services Duluth,2713700195,3821,46.84774017,-92.18761444,D,336413,2018,TON,0.06356,0.2953,0.019413,0.1961,0,0.0212954,0.0212954,0.0014178
AAR - Aircraft Services Duluth,2713700195,3821,46.84774017,-92.18761444,D,336413,2017,TON,0.06356,0.2953,0.019413,0.2681,,3.011299,0.0212954,0.0014178
Aaron Carlson Corp,2705300796,909,45.003143,-93.24548795,D,321918,2018,TON,0.79919,0.28941,0.029974,10.5502,0.00006378,7.50289,6.22659,0
Aaron Carlson Corp,2705300796,909,45.003143,-93.24548795,D,321918,2017,TON,0.81235,0.28436,0.13144,10.8361,0.00007753,7.5745,6.28846,
AB Mauri Food Inc dba Ohly Americas,2708500019,664,44.8929,-94.3646,D,311999,2017,TON,4.15,13.83,0.02964,0.2717,0.0000247,15.66569,8.930244,0.2984
Abbott,2705300474,1410,45.0459,-93.4035,D,339112,2019,TON,1.48778,2.0181,0.02325919,19.932116,0.000008508,0.01213492,0.01047548,0.056237
Abbott,2705300474,1410,45.0459,-93.4035,D,339112,2018,TON,1.51478,2.0491,0.02344919,14.153856,0.000008665,0.01229932,0.01061048,0.057247
Abbott,2705300474,1410,45.0459,-93.4035,D,339112,2017,TON,1.45638,1.91414,0.01637619,9.597249,0.00000847,0.01037692,0.00878858,0.0553617
Abbott - Woodridge CTC,2712300747,41561,45.0088,-93.0929,D,339112,2018,TON,0.781617,1.00743,0.00885563,5.8494112,0.00000439,0.198961745,0.145243823,0.02845363
Abbott - Woodridge CTC,2712300747,41561,45.0088,-93.0929,D,339112,2017,TON,0.783635,1.01948,0.008949709,4.807726,0.00000451,0.16810689,0.122980856,0.0293115
Abbott dba Saint Jude Medical LLC,2712300747,41561,45.0088,-93.0929,D,339112,2019,TON,0.845907,1.08752,0.00928446,7.7820722,0.000004733,0.244611185,0.178233643,0.03064363
Abbott Northwestern Hospital,2705300061,350,44.9537,-93.2615,R,622110,2019,TON,14.471014,18.0413,0.14190868,1.0370712,0.00011214,0.18172132,0.16088262,0.1041109
Abbott Northwestern Hospital,2705300061,350,44.9537,-93.2615,R,622110,2018,TON,15.575956,19.03716,0.14122523,1.1227557,9.37644E-05,0.1361398,0.1191024,0.094666
Abbott Northwestern Hospital,2705300061,350,44.9537,-93.2615,R,622110,2017,TON,15.41545,19.04518,0.1554813,1.05705798,9.91097E-05,0.16237399,0.14427714,0.09831829
ABRA Auto Body & Glass - Princeton,2714100073,50295,45.5499,-93.5855,R,811121,2017,TON,0.03885,0.04625,0.0002775,1.3645438,2.3125E-07,0.0002405,0.000198875,0.00148
Accent Home & Kitchen Center Inc,2700300222,7484,45.2218,-93.4263,D,321918,2019,TON,0.84,0.686,0.035,8.6938,0.0000672,0.9978,0.73057,0.02713
Accent Home & Kitchen Center Inc,2700300222,7484,45.2218,-93.4263,D,321918,2018,TON,0.792,0.6468,0.033,9.52244,0.00006336,0.97764,0.7118,0.02558
Accent Home & Kitchen Center Inc,2700300222,7484,45.2218,-93.4263,D,337110,2017,TON,0.72,0.588,0.03,11.3404,0.0000576,1.0024,0.71789,
Accenture Tower,2705300009,55,44.97438967,-93.26706755,C,519190,2019,TON,0.013,0.0604,0.00397,0.00493,,0.004356,0.0043555,0.00029
Accenture Tower,2705300009,55,44.97438967,-93.26706755,C,519190,2018,TON,0.013,0.0604,0.00397,0.00493,0,0.0043555,0.0043555,0.00029
Accenture Tower,2705300009,55,44.97438967,-93.26706755,C,519190,2017,TON,0.01495,0.06946,0.004566,0.00567,,0.005009,0.0050093,0.0003335
Acme Foundry Co,2705300017,613,44.9451,-93.2356,D,331511,2019,TON,0.09492,0.113,0.000678,0.026215,0.000000565,0.2305876,0.1398959,0.003616
Acme Foundry Co,2705300017,613,44.9451,-93.2356,D,331511,2018,TON,0.1025,0.122,0.000732,0.04671,0.00000061,0.8006444,0.5477146,0.003904
Acme Foundry Co,2705300017,613,44.9451,-93.2356,D,331511,2017,TON,0.09618,0.1145,0.000687,0.066298,5.725E-07,0.9605954,0.6608774,0.003664
acpi Wood Products LLC,2701900022,432,44.8387,-93.7901,R,337110,2019,TON,1.46072,1.7391,0.0104336,184.205644,,3.3536423,1.74665326,0.055644
Acrotech Inc,2715700033,46437,44.4392,-92.2687,D,325991,2019,TON,,,,0.83,,0.16,0.11553,
Acrotech Inc,2715700033,46437,44.4392,-92.2687,D,325991,2018,TON,0,0,0,1.03,0,0.3,0.2166,0
Acrotech Inc,2715700033,46437,44.4392,-92.2687,D,325991,2017,TON,,,,0.88,,0.36,,
Acrylic Design Associates,2705301166,18165,45.0634,-93.4098,C,339950,2019,TON,0.2011,0.2395,0.001437,2.20317,0.000001197,0.001245,0.0010296,0.001173
Acrylic Design Associates,2705301166,18165,45.0634,-93.4098,C,339950,2018,TON,0.1989,0.2368,0.001421,1.73652,0.000001184,0.0012314,0.0010183,0.00116
Acrylic Design Associates,2705301166,18165,45.0634,-93.4098,C,339950,2017,TON,0.1415,0.1684,0.00101,1.569762,0.000000842,0.0008757,0.0007241,0.0008252
Acuity Brands Lighting dba Winona Lighting Inc,2716900092,44513,44.0625,-91.6907,R,335129,2019,TON,0.7476,0.89,0.00534,16.52795,,0.054628,0.033827,0.02848
Acuity Brands Lighting dba Winona Lighting Inc,2716900092,44513,44.0625,-91.6907,R,335129,2018,TON,0.7308,0.87,0.00522,16.52685,0,0.054524,0.033741,0.02784
Acuity Brands Lighting dba Winona Lighting Inc,2716900092,44513,44.0625,-91.6907,R,335129,2017,TON,0.6636,0.79,0.00474,16.77345,,0.054108,0.033397,0.02528
ADGraphics/Curtis 1000,2700300228,19761,45.1626,-93.0239,D,323113,2018,TON,0.1459,0.1737,0.001042,1.166551,8.683E-07,0.000903,0.0007467,0.005557
ADGraphics/Curtis 1000,2700300228,19761,45.1626,-93.0239,D,323113,2017,TON,0.1627,0.1937,0.001162,1.00935,9.683E-07,0.001007,0.0008327,0.006197
ADM - Clarkfield - Prairie Grain Prtnrs,2717300008,2410,44.7886,-95.805,D,424510,2019,TON,2.152,2.562,0.015,0.141,,9.999,2.32059,
ADM - Clarkfield - Prairie Grain Prtnrs,2717300008,2410,44.7886,-95.805,D,424510,2018,TON,0.54,2.16,0.01,0.04,0,6.0895,1.44537,0
ADM - Clarkfield - Prairie Grain Prtnrs,2717300008,2410,44.7886,-95.805,D,424510,2017,TON,0.76,3.03,0.01,0.06,,7.74,1.89094,
ADM - Mankato,2701300006,574,44.1869,-93.9935,R,311225,2017,TON,49.182236,182.93092,134.530723,398.1429894,0.01310052,30.76761633,7.897933122,0.5998101
ADM - Red Wing,2704900001,1685,44.5683,-92.5333,R,311224,2018,TON,6.16657,7.66176,0.065736,59.76526364,0.000050035,6.39158852,2.6614916,0.24092
ADM - Red Wing,2704900001,1685,44.5683,-92.5333,R,311224,2017,TON,5.37921,6.71853,0.061202,45.0376505,0.000041425,6.60811548,2.16308025,0.2088947
ADM Animal Nutrition,2708500064,3273,44.76913782,-94.15584941,D,311119,2019,TON,0.3865,0.4602,0.002761,0.02531,0.000002301,1.240393,0.2907715,0.01472
ADM Animal Nutrition,2708500064,3273,44.76913782,-94.15584941,D,311119,2018,TON,0.3722,0.4431,0.002658,0.02437,0.000002215,1.1723041,0.2555954,0.01418
ADM Animal Nutrition,2708500064,3273,44.76913782,-94.15584941,D,311119,2017,TON,0.3078,0.3664,0.002198,0.02015,0.000001832,5.781905,1.375167,0.01172
ADM Corn Processing - Burr,2717300037,78538,44.74825961,-96.35919403,D,424510,2019,TON,0.056,0.33,0.002,0.009,,3.688,0.651192,
ADM Corn Processing - Burr,2717300037,78538,44.74825961,-96.35919403,D,424510,2018,TON,0,0,0,0,0,4.22,0.7153,0
ADM Corn Processing - Burr,2717300037,78538,44.74825961,-96.35919403,D,424510,2017,TON,,,,,,6.56,1.11125,
ADM Corn Processing - Dovray,2710100020,78537,44.0546,-95.5466,D,424510,2018,TON,0,0,0,0,0,,,0
ADM Corn Processing - Dovray,2710100020,78537,44.0546,-95.5466,D,424510,2017,TON,,,,,,2.45,0.440124,
ADM Corn Processing - Holland,2711700023,60532,44.09120178,-96.19020081,D,424510,2019,TON,0.028,0.166,0.0009,0.004,,1.96,0.34792,
ADM Corn Processing - Holland,2711700023,60532,44.09120178,-96.19020081,D,424510,2018,TON,0.05,0.27,0.02,0.01,0,4.07002,0.71658,0
ADM Corn Processing - Holland,2711700023,60532,44.0884,-96.1922,D,424510,2017,TON,0.09,0.54,0.04,0.01,,5.11,0.94901,
ADM Corn Processing - Marshall,2708300038,1161,44.47407443,-95.78352528,R,311221,2019,TON,157.07624,99.78827,54.453637,137.5400714,0.000728621,96.16058216,85.92132516,4.9483548
ADM Corn Processing - Marshall,2708300038,1161,44.47407443,-95.78352528,R,311221,2018,TON,196.40356,92.74783,39.806037,85.6524014,0.000764031,82.83623016,71.21538386,5.194606
ADM Corn Processing - Marshall,2708300038,1161,44.47407443,-95.78352528,R,311221,2017,TON,192.77868,90.73911,44.851854,109.9980364,0.000788996,63.9084563,59.107949,5.3157335
ADM Corn Processing - Marshall Elevator,2708300006,2601,44.4585,-95.7919,D,424510,2019,TON,0.07,0.083,0,0.005,,0.961,0.179356,
ADM Corn Processing - Marshall Elevator,2708300006,2601,44.4585,-95.7919,D,424510,2018,TON,,,,,0,1.4,0.237671,0
ADM Corn Processing - Marshall Elevator,2708300006,2601,44.4585,-95.7919,D,424510,2017,TON,0.006,0.023,,,,2.83,0.572187,
ADM Corn Processing - Sanborn,2712700052,102105,44.2113,-95.1293,D,424510,2018,TON,,,,,0,,,0
ADM Corn Processing - Sanborn,2712700052,102105,44.2113,-95.1293,D,424510,2017,TON,0.36,1.43,0.01,0.03,,3.93,0.70638,
ADM Grain - St Paul - Elevator D,2712300020,833,44.924,-93.124,D,424510,2019,TON,,,,,,1.648,0.286567,
ADM Grain - St Paul - Elevator D,2712300020,833,44.924,-93.124,D,424510,2018,TON,0,0,0,0,0,7.11,1.210835,0
ADM Grain - St Paul - Elevator D,2712300020,833,44.924,-93.124,D,424510,2017,TON,,,,,,8.47,1.443232,
ADM Milling - Atkinson Flour Mill,2705300085,244,44.9355,-93.2288,D,311211,2019,TON,0.44135,0.5404,0.037894,0.028764,0.000003933,0.89016,0.1625611,0.017466
ADM Milling - Atkinson Flour Mill,2705300085,244,44.9355,-93.2288,D,311211,2018,TON,0.4532,0.5395,0.003237,0.02967,0.000002698,0.936755,0.1717195,0.01726
ADM Milling - Atkinson Flour Mill,2705300085,244,44.9355,-93.2288,D,311211,2017,TON,0.4113,0.4896,0.002938,0.02693,0.000002448,0.956546,0.1771726,0.01567
ADM Milling Co - Nokomis Flour Mill,2705300084,2482,44.9391,-93.2313,D,311211,2017,TON,0.3216,0.3828,0.002297,0.02105,0.000001914,1.685991,0.3343029,0.01225
ADM/Benson-Quinn Co,2714500182,131198,45.5331,-94.2827,D,424510,2019,TON,0.74,0.882,0.005,0.048,,2.469,0.560967,
ADM/Benson-Quinn Co,2714500182,131198,45.5331,-94.2827,D,424510,2018,TON,0,0,0,0,0,4.7805,1.194179,0
ADM/Benson-Quinn Co,2714500182,131198,45.5331,-94.2827,D,424510,2017,TON,,,,,,2.08,0.501689,
Adrian Public Utilities,2710500046,2360,43.63762675,-95.93305426,C,221121,2019,TON,0.3925,1.824,0.1199,0.1489,,0.1315,0.131485,0.008757
Adrian Public Utilities,2710500046,2360,43.63762675,-95.93305426,C,221121,2018,TON,0.06572,0.3053,0.02007,0.02492,0,0.0220133,0.0220133,0.001466
Adrian Public Utilities,2710500046,2360,43.63762675,-95.93305426,C,221121,2017,TON,0.07131,0.3313,0.02178,0.02704,,0.02389,0.0238886,0.001591
Advance Corp - Cottage Grove,2716300127,59486,44.809,-92.943,D,339950,2019,TON,0.1673,0.1992,0.001195,2.95096,0.000000996,6.201036,0.3327565,0.006374
Advance Corp - Cottage Grove,2716300127,59486,44.809,-92.943,D,339950,2018,TON,0.03095,0.03685,0.0002211,2.992027,1.843E-07,4.9501916,0.29055844,0.001179
Advance Corp - Cottage Grove,2716300127,59486,44.809,-92.943,D,339950,2017,TON,,,,3.64,,4.68,0.06638,
Advanced Disposal Services - Rolling Hills Landfill,2717100089,281,45.241765,-93.886976,R,562212,2019,TON,18.8,3.506,204.1,2.11093,,0.9065,0.874621,
Advanced Disposal Services - Rolling Hills Landfill,2717100089,281,45.241765,-93.886976,R,562212,2018,TON,21.13,3.967,177.5,2.0418,0,1.11128,1.007429,0
Advanced Disposal Services Rolling Hills Landfill,2717100089,11482,45.24616999,-93.88790707,R,562212,2017,TON,21.91,4.095,222.1,2.1895,,1.37439,1.087218,
Advanced Web Technologies Inc,2705301174,97460,44.99560501,-93.21792553,D,323111,2019,TON,0.2798,0.3332,0.001999,24.21832,0.000001666,0.001732,0.0014325,0.01066
Advanced Web Technologies Inc,2705301174,97460,44.99560501,-93.21792553,D,323111,2018,TON,0.2295,0.2733,0.00164,22.11503,0.000001366,0.0014209,0.001175,0.008744
Advanced Web Technologies Inc,2705301174,97460,44.9962,-93.2193,D,323111,2017,TON,0.1861,0.2215,0.001329,23.81218,0.000001108,0.001152,0.0009525,0.007088
Ag Processing Inc,2707300002,430,44.93291886,-96.05746808,R,311224,2019,TON,30.0231,36.1809,0.2521,207.77326,0.00017793,70.59112618,17.80888256,1.141713
Ag Processing Inc - Dawson,2707300002,430,44.93291886,-96.05746808,R,311224,2018,TON,28.628,34.1708,0.21224,224.9502,0.0001702,68.10596823,17.46714156,1.08998
Ag Processing Inc - Dawson,2707300002,430,44.93291886,-96.05746808,R,311224,2017,TON,27.027,32.18,0.19312,202.53824,0.00016095,55.4663738,15.58098553,1.0297
Agassiz Valley Grain LLC - Barnesville,2702700070,101883,46.6782,-96.4275,D,424510,2019,TON,0.45,1.8,0.6,2.8,,3.79,0.863024,
Agassiz Valley Grain LLC - Barnesville,2702700070,101883,46.6782,-96.4275,D,424510,2018,TON,0.01,0.05,,,0,2.03,0.44235,0
Agassiz Valley Grain LLC - Barnesville,2702700070,101883,46.6782,-96.4275,D,424510,2017,TON,0.01,0.05,,,,2.03,0.44235,
AGCO Corp - Jackson Operation,2706300021,1824,43.638,-94.9767,R,333111,2018,TON,0.069348,31.49254,0.014114,75.880409,0,31.14687626,31.14687626,0.05488015
AGCO Corp - Jackson Operations,2706300021,1824,43.638,-94.9767,R,333111,2019,TON,1.33719,1.68624,0.015122,61.9654,,25.49385859,25.49385859,0.0519116
