name,id,align,eye,hair,sex,alive,x
Consuela Sanchez (Earth-616),Public Identity,Good Characters,NA,Black Hair,Female Characters,Living Characters,"c(-101.25, -89.75)"
Thrax (New Earth),NA,NA,NA,NA,Male Characters,Deceased Characters,"c(-99.25, -89.75)"
Ace (G.R.A.M.P.A) (Earth-616),Secret Identity,Good Characters,Blue Eyes,NA,Male Characters,Living Characters,"c(-97.25, -89.75)"
Simian (Earth-616),NA,NA,NA,NA,NA,Deceased Characters,"c(-95.25, -89.75)"
Sn'Tlo (Earth-616),Secret Identity,Bad Characters,Red Eyes,Variable Hair,Male Characters,Living Characters,"c(-94.75, -89.75)"
Cadaver (Earth-616),NA,Bad Characters,NA,NA,Male Characters,Living Characters,"c(-93.75, -89.75)"
Farissa (Earth-616),NA,Good Characters,Brown Eyes,Black Hair,Female Characters,Living Characters,"c(-92.75, -89.75)"
Filippo Ayala (Earth-616),No Dual Identity,Bad Characters,NA,NA,Male Characters,Deceased Characters,"c(-92.25, -89.75)"
Laura Russell (Earth-616),No Dual Identity,NA,Blue Eyes,Red Hair,Female Characters,Deceased Characters,"c(-89.75, -89.75)"
Solomon Prey (Earth-616),Secret Identity,Bad Characters,Red Eyes,Bald,Male Characters,Living Characters,"c(-89.25, -89.75)"
Chaos (Eternal) (Earth-616),NA,Bad Characters,NA,No Hair,Male Characters,Living Characters,"c(-87.75, -89.75)"
Herbert Hoover (New Earth),Public Identity,Good Characters,NA,NA,Male Characters,Living Characters,"c(-85.75, -89.75)"
Eleven (Rupinski) (Earth-616),Secret Identity,Bad Characters,NA,NA,Female Characters,Living Characters,"c(-84.25, -89.75)"
Mister Z'zz (Earth-616),NA,Good Characters,White Eyes,NA,Male Characters,Deceased Characters,"c(-81.75, -89.75)"
Vernon Wells (New Earth),NA,Bad Characters,NA,Blond Hair,Male Characters,Deceased Characters,"c(-78.25, -89.75)"
Sibylla (Earth-616),Public Identity,NA,NA,NA,Female Characters,Living Characters,"c(-76.75, -89.75)"
Leona Tremaine (Earth-616),Public Identity,NA,NA,NA,Female Characters,Living Characters,"c(-75.25, -89.75)"
Buster (New Earth),Public Identity,Bad Characters,NA,NA,NA,Living Characters,"c(-74.75, -89.75)"
Thomas Jefferson (Earth-616),Public Identity,Good Characters,NA,NA,Male Characters,Deceased Characters,"c(-73.75, -89.75)"
Aalbort (Earth-616),No Dual Identity,NA,White Eyes,White Hair,Male Characters,Living Characters,"c(-72.25, -89.75)"
Knave (Crazy Gang) (Earth-616),NA,Bad Characters,NA,NA,Male Characters,Living Characters,"c(-70.25, -89.75)"
Jose Santini (Earth-616),Public Identity,NA,NA,Black Hair,Male Characters,Living Characters,"c(-68.75, -89.75)"
Doctor Excess (New Earth),NA,Bad Characters,NA,White Hair,Male Characters,Living Characters,"c(-65.25, -89.75)"
Ray Morgan (Earth-616),NA,Bad Characters,NA,Brown Hair,Male Characters,Living Characters,"c(-64.25, -89.75)"
Dwight Hubbard (Earth-616),Secret Identity,Bad Characters,NA,Bald,Male Characters,Living Characters,"c(-57.75, -89.75)"
Alex Grimond (Earth-616),NA,NA,NA,NA,Male Characters,Living Characters,"c(-56.75, -89.75)"
Iguana (Earth-616),NA,Bad Characters,NA,No Hair,Male Characters,Living Characters,"c(-55.75, -89.75)"
Selah Burke (Earth-616),Secret Identity,Good Characters,Brown Eyes,Black Hair,Female Characters,Living Characters,"c(-55.25, -89.75)"
Catherine Klass (New Earth),NA,Good Characters,NA,NA,Female Characters,Living Characters,"c(-53.75, -89.75)"
Count Lust (Earth-616),Secret Identity,Bad Characters,NA,Bald,Male Characters,Deceased Characters,"c(-52.75, -89.75)"
Tiboro (Earth-616),No Dual Identity,NA,Green Eyes,NA,Male Characters,Living Characters,"c(-52.25, -89.75)"
Els Udonta (Earth-616),Secret Identity,Good Characters,Blue Eyes,No Hair,Female Characters,Living Characters,"c(-51.75, -89.75)"
Prester John (Johann) (Earth-616),Secret Identity,NA,Blue Eyes,Red Hair,Male Characters,Deceased Characters,"c(-50.75, -89.75)"
Harold Osborn (Earth-616),No Dual Identity,Good Characters,Blue Eyes,Brown Hair,Male Characters,Living Characters,"c(-47.25, -89.75)"
Officer Holloran (Earth-616),Public Identity,NA,NA,Brown Hair,Male Characters,Living Characters,"c(-46.75, -89.75)"
Spaulding (New Earth),Public Identity,Bad Characters,Black Eyes,Black Hair,Male Characters,Living Characters,"c(-43.75, -89.75)"
Leona Pierce (New Earth),Public Identity,Good Characters,Brown Eyes,Brown Hair,Female Characters,Living Characters,"c(-43.25, -89.75)"
Clarice Ferguson (Earth-616),Secret Identity,Good Characters,Green Eyes,Magenta Hair,Female Characters,Living Characters,"c(-41.75, -89.75)"
Buckminster Fuller (Earth-616),Public Identity,NA,NA,NA,Male Characters,Living Characters,"c(-41.25, -89.75)"
Sylvie Lushton (Earth-616),Secret Identity,Bad Characters,Brown Eyes,Blond Hair,Female Characters,Living Characters,"c(-36.75, -89.75)"
Llyron (Earth-616),NA,NA,NA,NA,Male Characters,Living Characters,"c(-34.25, -89.75)"
Charles Moss (Earth-616),Secret Identity,Good Characters,Blue Eyes,Brown Hair,Male Characters,Living Characters,"c(-32.75, -89.75)"
Brunt (New Earth),NA,Bad Characters,NA,NA,Male Characters,Deceased Characters,"c(-31.75, -89.75)"
Oggmunder Dragglevadd Vinnsuvius XVII (Earth-616),No Dual Identity,Good Characters,Brown Eyes,Bald,Male Characters,Deceased Characters,"c(-31.25, -89.75)"
Lightning (Masked Raider) (Earth-616),No Dual Identity,Good Characters,NA,White Hair,Male Characters,Living Characters,"c(-30.75, -89.75)"
Jonathan Mayhew (New Earth),Public Identity,Bad Characters,Blue Eyes,Brown Hair,Male Characters,Deceased Characters,"c(-30.25, -89.75)"
Chester Goudal (Earth-616),NA,Bad Characters,NA,Red Hair,Male Characters,Deceased Characters,"c(-29.25, -89.75)"
David Arnstead (Earth-616),Public Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,Living Characters,"c(-28.25, -89.75)"
Hurricane (Dark Riders) (Earth-616),Secret Identity,Bad Characters,NA,Brown Hair,Male Characters,Deceased Characters,"c(-26.75, -89.75)"
Paul Sloan (New Earth),Public Identity,Bad Characters,Red Eyes,NA,Male Characters,Living Characters,"c(-24.75, -89.75)"
Oshemar (Earth-616),Secret Identity,NA,Blue Eyes,No Hair,Male Characters,Deceased Characters,"c(-22.25, -89.75)"
Dovina (Earth-616),NA,NA,Blue Eyes,Blond Hair,Female Characters,Living Characters,"c(-21.75, -89.75)"
Benedicto de Vica Severtes (Earth-616),Secret Identity,NA,NA,NA,Male Characters,Living Characters,"c(-21.25, -89.75)"
Master Order (Earth-616),NA,NA,NA,No Hair,NA,Living Characters,"c(-20.25, -89.75)"
Nicholas Gleason (Earth-616),Secret Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,Deceased Characters,"c(-18.25, -89.75)"
Martin Bastelli (Earth-616),NA,NA,Brown Eyes,Black Hair,Male Characters,Living Characters,"c(-16.25, -89.75)"
Father Coza (Earth-616),NA,Good Characters,NA,Brown Hair,Male Characters,Living Characters,"c(-15.25, -89.75)"
Matthew Gilden (Earth-616),Secret Identity,Bad Characters,Blue Eyes,Blond Hair,Male Characters,Deceased Characters,"c(-13.25, -89.75)"
Ted (Teen Brigade) (Earth-616),Secret Identity,Good Characters,NA,Blond Hair,Male Characters,Living Characters,"c(-11.25, -89.75)"
Xian Zheng (Earth-616),No Dual Identity,Good Characters,Black Eyes,Black Hair,Male Characters,Living Characters,"c(-9.74999999999997, -89.75)"
Moe (New Earth),Public Identity,Bad Characters,NA,Brown Hair,Male Characters,Living Characters,"c(-8.24999999999997, -89.75)"
Antiphon (New Earth),Secret Identity,Bad Characters,Blue Eyes,Blond Hair,Male Characters,Living Characters,"c(-4.24999999999997, -89.75)"
Leonid (Earth-616),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,Living Characters,"c(-2.74999999999997, -89.75)"
Grady Scraps (Earth-616),Public Identity,NA,Blue Eyes,NA,Male Characters,Living Characters,"c(-1.74999999999997, -89.75)"
Jack Knight (New Earth),Public Identity,Good Characters,Black Eyes,Black Hair,Male Characters,Living Characters,"c(-1.24999999999997, -89.75)"
Denak (Earth-616),NA,Bad Characters,NA,No Hair,Male Characters,Living Characters,"c(0.750000000000028, -89.75)"
John Smalls (New Earth),NA,NA,Brown Eyes,Black Hair,Male Characters,Living Characters,"c(1.25000000000003, -89.75)"
Thommanom (Earth-616),Secret Identity,Bad Characters,Red Eyes,No Hair,Male Characters,Deceased Characters,"c(1.75000000000003, -89.75)"
Billy Vanderlyn (Earth-616),Secret Identity,Bad Characters,NA,NA,Male Characters,Living Characters,"c(2.25000000000003, -89.75)"
Prince Topaz (New Earth),Public Identity,Good Characters,Yellow Eyes,Blond Hair,Male Characters,Living Characters,"c(4.25000000000003, -89.75)"
Meridian Mychaels (New Earth),Secret Identity,Good Characters,NA,Brown Hair,Female Characters,Living Characters,"c(5.25000000000003, -89.75)"
Sporr (Fomalhauti) (Earth-616),NA,NA,NA,No Hair,NA,Living Characters,"c(11.25, -89.75)"
Zarina (Earth-616),No Dual Identity,Bad Characters,Blue Eyes,NA,Female Characters,Living Characters,"c(12.25, -89.75)"
Roscoe Sweeney (Earth-616),NA,Bad Characters,NA,NA,Male Characters,Deceased Characters,"c(19.75, -89.75)"
Hrolf (Asgardian) (Earth-616),NA,Good Characters,NA,NA,Male Characters,Living Characters,"c(20.25, -89.75)"
Jack Casey (Earth-616),No Dual Identity,Good Characters,NA,Brown Hair,Male Characters,Deceased Characters,"c(20.75, -89.75)"
Colonel Hendershoot (Earth-616),Public Identity,Good Characters,NA,Black Hair,Male Characters,Living Characters,"c(21.25, -89.75)"
Angel (Fortunato's pet wolf) (Earth-616),No Dual Identity,Bad Characters,NA,Brown Hair,Male Characters,Living Characters,"c(23.25, -89.75)"
James Petrie (Earth-616),Public Identity,Good Characters,NA,White Hair,Male Characters,Living Characters,"c(26.75, -89.75)"
Leo (Ecliptic) (Earth-616),Secret Identity,Bad Characters,NA,NA,Male Characters,Living Characters,"c(29.75, -89.75)"
Arthur Gordon Pym (New Earth),Public Identity,NA,NA,Blond Hair,Male Characters,Deceased Characters,"c(30.25, -89.75)"
Beefcake (LMD) (Earth-616),Secret Identity,Good Characters,Blue Eyes,Black Hair,Male Characters,Living Characters,"c(33.75, -89.75)"
Amelia Hunkel (New Earth),Secret Identity,Good Characters,NA,NA,Female Characters,Living Characters,"c(35.75, -89.75)"
The Dude (Earth-616),Secret Identity,Good Characters,NA,NA,Male Characters,Living Characters,"c(36.25, -89.75)"
Sif (Earth-616),No Dual Identity,Good Characters,Blue Eyes,Black Hair,Female Characters,Living Characters,"c(36.75, -89.75)"
Mendicus (Earth-616),Public Identity,NA,NA,Magenta Hair,Male Characters,Living Characters,"c(38.25, -89.75)"
Vial (New Earth),Secret Identity,Bad Characters,NA,Brown Hair,Male Characters,Deceased Characters,"c(39.25, -89.75)"
Thomas Dinawa (New Earth),Public Identity,Good Characters,Brown Eyes,Black Hair,Male Characters,Living Characters,"c(39.75, -89.75)"
Killobyte (Joey) (Earth-616),Secret Identity,Bad Characters,NA,NA,Male Characters,Deceased Characters,"c(41.75, -89.75)"
Alonzo Malrey (New Earth),Public Identity,Good Characters,NA,NA,Male Characters,Living Characters,"c(46.25, -89.75)"
Morton Erg (Earth-616),NA,Bad Characters,NA,Black Hair,Male Characters,Deceased Characters,"c(46.75, -89.75)"
General (New Earth),NA,Good Characters,NA,NA,NA,Deceased Characters,"c(47.25, -89.75)"
Aaron Babcock (New Earth),Public Identity,Bad Characters,NA,Brown Hair,Male Characters,Deceased Characters,"c(50.75, -89.75)"
Phil Grayfield (Earth-616),Secret Identity,Good Characters,NA,Light Brown Hair,Male Characters,Living Characters,"c(51.75, -89.75)"
Mary Parker (Simulcrum) (Earth-616),NA,NA,NA,NA,Female Characters,Deceased Characters,"c(52.75, -89.75)"
Timothy Karnes (New Earth),Secret Identity,Bad Characters,Brown Eyes,NA,Male Characters,Deceased Characters,"c(53.75, -89.75)"
Kan-Z (New Earth),Public Identity,NA,Blue Eyes,Blond Hair,Male Characters,Living Characters,"c(59.25, -89.75)"
James Louis Prindle (Earth-616),Public Identity,Good Characters,NA,Brown Hair,Male Characters,Living Characters,"c(60.75, -89.75)"
Gretl Anders (Earth-616),Public Identity,NA,Blue Eyes,Red Hair,Female Characters,Deceased Characters,"c(64.25, -89.75)"
Alyssa Moy (Earth-616),No Dual Identity,Good Characters,Brown Eyes,Black Hair,Female Characters,Deceased Characters,"c(65.75, -89.75)"
Josh Arndt (Earth-616),Public Identity,NA,Brown Eyes,Black Hair,Male Characters,Living Characters,"c(67.75, -89.75)"
Barbara Bannister (Earth-616),Public Identity,Good Characters,Blue Eyes,Red Hair,Female Characters,Living Characters,"c(68.75, -89.75)"
Molly Hayes (Earth-616),Secret Identity,Good Characters,Green Eyes,Brown Hair,Female Characters,Living Characters,"c(69.25, -89.75)"
Digger (Vegas Thirteen) (Earth-616),Public Identity,Bad Characters,Pink Eyes,No Hair,Male Characters,Living Characters,"c(69.75, -89.75)"
Albert Malik (Earth-616),Secret Identity,Bad Characters,Brown Eyes,White Hair,Male Characters,Deceased Characters,"c(70.75, -89.75)"
Massdriver (Earth-616),Secret Identity,NA,NA,No Hair,Female Characters,Deceased Characters,"c(77.75, -89.75)"
Nona Lin-Baker (New Earth),Public Identity,Good Characters,NA,Black Hair,Female Characters,Living Characters,"c(78.25, -89.75)"
Troh-Maw (Earth-616),Secret Identity,Bad Characters,Yellow Eyes,No Hair,Male Characters,Deceased Characters,"c(81.75, -89.75)"
Dennis Kellard (Earth-616),NA,Bad Characters,Blue Eyes,White Hair,Male Characters,Living Characters,"c(88.75, -89.75)"
Bun-Dall (Earth-616),No Dual Identity,NA,NA,Bald,Male Characters,Living Characters,"c(91.25, -89.75)"
Luther Mannkin (New Earth),Public Identity,Good Characters,NA,Black Hair,Male Characters,Living Characters,"c(93.75, -89.75)"
Gasshga (Earth-616),Public Identity,Bad Characters,NA,Blue Hair,Male Characters,Living Characters,"c(94.75, -89.75)"
Xandu (Sorcerer) (Earth-616),Secret Identity,Bad Characters,Blue Eyes,White Hair,Male Characters,Living Characters,"c(96.25, -89.75)"
Metamorpheus (New Earth),Secret Identity,Bad Characters,NA,NA,Male Characters,Deceased Characters,"c(99.75, -89.75)"
Voz (New Earth),Secret Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,Living Characters,"c(101.75, -89.75)"
Veritas (New Earth),NA,Bad Characters,NA,NA,Male Characters,Living Characters,"c(106.25, -89.75)"
Roberto Kowalski (Earth-616),Secret Identity,Bad Characters,NA,Brown Hair,Male Characters,Living Characters,"c(107.25, -89.75)"
Oog (Earth-616),NA,NA,NA,NA,Male Characters,Living Characters,"c(108.75, -89.75)"
Kaz (Earth-616),Secret Identity,NA,NA,Black Hair,Male Characters,Living Characters,"c(111.25, -89.75)"
Mister Carson (Earth-616),Public Identity,Good Characters,NA,White Hair,Male Characters,Deceased Characters,"c(113.25, -89.75)"
Carl Lombardi (Earth-616),Secret Identity,Bad Characters,NA,Brown Hair,Male Characters,Living Characters,"c(116.25, -89.75)"
Robert Crane (New Earth),Secret Identity,Good Characters,Red Eyes,NA,Male Characters,Living Characters,"c(117.25, -89.75)"
Oak (Earth-616),Secret Identity,NA,White Eyes,No Hair,Male Characters,Living Characters,"c(117.75, -89.75)"
Dafi (Earth-616),NA,NA,Green Eyes,Brown Hair,Female Characters,Living Characters,"c(121.75, -89.75)"
Ilya Zarkov (Earth-616),Public Identity,Good Characters,Blue Eyes,Brown Hair,Male Characters,Deceased Characters,"c(122.75, -89.75)"
T'Dogo (Heroes Reborn) (Earth-616),NA,Good Characters,NA,NA,Male Characters,Living Characters,"c(123.25, -89.75)"
Leo (Shadow Consortium) (Earth-616),Secret Identity,Bad Characters,NA,NA,Male Characters,Deceased Characters,"c(124.75, -89.75)"
Jillian Jackson (New Earth),NA,Good Characters,NA,Blond Hair,Female Characters,Living Characters,"c(126.75, -89.75)"
Ivan (Earth-616),NA,NA,NA,NA,Male Characters,Living Characters,"c(128.75, -89.75)"
Draxon (Earth-616),Public Identity,Bad Characters,Blue Eyes,Bald,Male Characters,Deceased Characters,"c(129.25, -89.75)"
Jackson Davies (New Earth),NA,Good Characters,Brown Eyes,Black Hair,Male Characters,Living Characters,"c(130.75, -89.75)"
Tobe Levine (Earth-616),Public Identity,Bad Characters,NA,Brown Hair,Male Characters,Living Characters,"c(133.25, -89.75)"
Ace Maxwell (Earth-616),No Dual Identity,Bad Characters,NA,Black Hair,Male Characters,Living Characters,"c(136.75, -89.75)"
Price (Earth-616),Secret Identity,NA,NA,NA,Male Characters,Living Characters,"c(137.75, -89.75)"
Edward Ferbel (Earth-616),NA,NA,Blue Eyes,Blond Hair,Male Characters,Living Characters,"c(139.25, -89.75)"
Sleepwalker (Earth-616),Secret Identity,Good Characters,Red Eyes,No Hair,Male Characters,Living Characters,"c(140.75, -89.75)"
Crazyface (New Earth),Secret Identity,NA,NA,NA,Male Characters,Living Characters,"c(141.25, -89.75)"
Unnthinnk (Earth-616),Secret Identity,Bad Characters,NA,No Hair,Male Characters,Living Characters,"c(142.75, -89.75)"
Michael Dugan (New Earth),Public Identity,NA,Green Eyes,Red Hair,Male Characters,Living Characters,"c(144.75, -89.75)"
Borgeddon (Earth-616),Public Identity,Bad Characters,Red Eyes,Bald,NA,Living Characters,"c(146.25, -89.75)"
Omar Barrenos (Earth-616),Public Identity,NA,NA,Brown Hair,Male Characters,Living Characters,"c(147.25, -89.75)"
Morgan (Dream Realm) (Earth-616),Secret Identity,NA,NA,Blond Hair,Female Characters,Living Characters,"c(147.75, -89.75)"
Bull Brogin (Earth-616),NA,Bad Characters,NA,Brown Hair,Male Characters,Living Characters,"c(148.75, -89.75)"
Avner (Earth-616),No Dual Identity,NA,NA,NA,Male Characters,Deceased Characters,"c(150.25, -89.75)"
Morjak (Earth-616),NA,NA,NA,NA,NA,Living Characters,"c(152.75, -89.75)"
Firefly (Shroud Foe) (Earth-616),Secret Identity,Bad Characters,NA,Black Hair,Female Characters,Living Characters,"c(155.25, -89.75)"
Yohei (Earth-616),NA,Bad Characters,NA,Black Hair,Male Characters,Living Characters,"c(156.25, -89.75)"
Preston Hardwick (Earth-616),Secret Identity,Good Characters,NA,Red Hair,Male Characters,Living Characters,"c(158.75, -89.75)"
Lynch Mason (Earth-616),No Dual Identity,Bad Characters,NA,White Hair,Male Characters,Living Characters,"c(162.75, -89.75)"
Ted Koppel (Earth-616),Public Identity,NA,NA,NA,Male Characters,Living Characters,"c(164.25, -89.75)"
Gale (Institute) (Earth-616),Secret Identity,Bad Characters,NA,Black Hair,Female Characters,Living Characters,"c(164.75, -89.75)"
Arnold Locane (New Earth),NA,NA,NA,NA,Male Characters,Living Characters,"c(165.25, -89.75)"
Karin Grace (New Earth),Public Identity,Bad Characters,Blue Eyes,Blond Hair,Female Characters,Deceased Characters,"c(170.25, -89.75)"
Deron Ved (Earth-One),NA,Bad Characters,Blue Eyes,Reddish Brown Hair,Male Characters,Living Characters,"c(172.75, -89.75)"
Agent Carver (Earth-616),Secret Identity,Good Characters,Brown Eyes,Black Hair,Female Characters,Living Characters,"c(174.75, -89.75)"
Autonomously Decisive Automated Mechanism (Earth-616),Secret Identity,Good Characters,Blue Eyes,Red Hair,Male Characters,Living Characters,"c(175.25, -89.75)"
Kuryestan (Earth-616),NA,Bad Characters,NA,Brown Hair,Male Characters,Living Characters,"c(175.75, -89.75)"
Deborah & Donald Ritter (Earth-616),Secret Identity,Good Characters,Blue Eyes,Blond Hair,NA,Living Characters,"c(176.75, -89.75)"
Roger Vane (Earth-616),NA,NA,NA,Brown Hair,Male Characters,Living Characters,"c(178.25, -89.75)"
Grrix (Earth-616),Public Identity,Bad Characters,Green Eyes,No Hair,Male Characters,Living Characters,"c(179.75, -89.75)"
Edmund (Earth-616),Public Identity,NA,Black Eyes,Black Hair,Male Characters,Living Characters,"c(-177.75, -89.25)"
Eugene Judd (Revenant) (Earth-616),Secret Identity,Bad Characters,Brown Eyes,Black Hair,Male Characters,Deceased Characters,"c(-175.75, -89.25)"
Coral (Microverse) (Earth-616),NA,NA,NA,NA,NA,Living Characters,"c(-174.75, -89.25)"
Frederick Storm (New Earth),Secret Identity,Bad Characters,Black Eyes,Black Hair,Male Characters,Living Characters,"c(-174.25, -89.25)"
Anton Wexler (Earth-616),No Dual Identity,Good Characters,Brown Eyes,Light Brown Hair,Male Characters,Living Characters,"c(-173.75, -89.25)"
Deadline (New Earth),Secret Identity,Bad Characters,NA,NA,Male Characters,Living Characters,"c(-173.25, -89.25)"
Kevin Plunder (Earth-616),Public Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,Living Characters,"c(-170.75, -89.25)"
Satanus (New Earth),Secret Identity,Bad Characters,Red Eyes,Black Hair,Male Characters,Living Characters,"c(-169.75, -89.25)"
Victoria von Frankenstein (Earth-616),Public Identity,Good Characters,Grey Eyes,Black Hair,Female Characters,Living Characters,"c(-169.25, -89.25)"
Tod Kaufman (Earth-616),Secret Identity,Bad Characters,Blue Eyes,Blond Hair,Male Characters,Living Characters,"c(-165.75, -89.25)"
Cotton Mather (Earth-616),NA,Bad Characters,NA,Grey Hair,Male Characters,Deceased Characters,"c(-164.25, -89.25)"
Zyklon (New Earth),Secret Identity,Bad Characters,NA,NA,Male Characters,Living Characters,"c(-163.75, -89.25)"
Daniel Ketch (Earth-616),Secret Identity,NA,Green Eyes,Brown Hair,Male Characters,Living Characters,"c(-160.25, -89.25)"
Atinai (New Earth),NA,Good Characters,NA,NA,Female Characters,Deceased Characters,"c(-159.25, -89.25)"
Shorm (New Earth),Public Identity,Good Characters,Green Eyes,NA,Male Characters,Living Characters,"c(-158.75, -89.25)"
Nicholas Fury (LMD) (Earth-616),Secret Identity,Bad Characters,Brown Eyes,Brown Hair,Male Characters,Deceased Characters,"c(-152.25, -89.25)"
Ezekiel Wright (Earth-616),Secret Identity,Good Characters,NA,Black Hair,Male Characters,Living Characters,"c(-150.75, -89.25)"
Burron (Earth-616),Secret Identity,Good Characters,NA,NA,Male Characters,Living Characters,"c(-148.75, -89.25)"
Dennis Malloy (Earth-616),Secret Identity,Bad Characters,NA,No Hair,Male Characters,Living Characters,"c(-145.25, -89.25)"
